U50         Team ball sports
U55.3       Snowmobiling
U55.4       Snow boarding
U55.5       Speed skating
U55.6       Tobogganing
U55.7       Curling
U55.8       Other specified ice or snow sport
U55.9       Unspecified ice or snow sport
U56         Individual athletic activities
U56.0       Aerobics and calisthenics
U56.00      Aerobics
U56.01      Calisthenics
U56.1       Jogging and running
U56.2       Walking
U56.3       Track and field
U56.30      Racing over obstacles and hurdles
U56.31      Track and field, sprinting and middle distance
U56.32      Track and field, running long distances
U56.33      Track and field, high jump
U56.34      Track and field, long jump
U56.35      Track and field, pole vault
U56.36      Track and field, triple jump
U56.37      Track and field, throwing events
U56.38      Other specified track and field
U56.39      Track and field, unspecified
U56.4       Walking, competitive
U56.5       Marathon running
U56.8       Other specified individual athletic activity
U56.9       Unspecified individual athletic activity
U57         Acrobatic sports
U57.0       Gymnastics
U57.00      Gymnastics, balance beam
U57.01      Gymnastics, floor
U57.02      Gymnastics, high bar
U57.03      Gymnastics, parallel bars
U57.04      Gymnastics, rings
U57.05      Gymnastics, side horse and pommel horse
U57.06      Gymnastics, trampoline and mini-trampoline
U57.07      Gymnastics, vault
U57.08      Other specified gymnastics
U57.09      Gymnastics, unspecified
U57.8       Other specified acrobatic sport
U57.9       Unspecified acrobatic sport
U58         Aesthetic activities
U58.0       Dancing
U58.8       Other specified aesthetic sport
U58.9       Unspecified aesthetic sport
U59         Racquet sports
U59.0       Badminton
U59.1       Racquetball
U59.2       Squash
U59.3       Table tennis and Ping-Pong
U59.4       Tennis
U59.8       Other specified racquet sport
U59.9       Unspecified racquet sport
U60         Target and precision sports
U60.0       Archery
U60.1       Billiards, pool and snooker
U60.2       Bowling
U60.20      Lawn bowling
U60.21      Tenpin bowling
U60.22      Indoor bowling
U60.29      Bowling, other and unspecified
U60.3       Croquet
U60.4       Darts
U60.5       Golf
U60.6       Firearm shooting
U60.8       Other specified target and precision sport
U60.9       Unspecified target and precision sports
U61         Combative sports
U61.0       Aikido
U61.1       Boxing
U61.2       Fencing
U61.3       Martial arts
U61.30      Judo
U61.31      Jujitsu
U61.32      Karate
U61.33      Kendo
U61.34      Kick-boxing
U61.35      Kung fu
U61.36      Tae kwon do
U61.38      Other specified martial arts
U61.39      Martial arts, unspecified
U61.4       Wrestling
U61.40      Wrestling, freestyle
U61.41      Wrestling, Greco-Roman
U61.42      Wrestling, professional
U61.48      Other specified wrestling
U61.49      Wrestling, unspecified
U61.5       Self defence training
U61.8       Other specified combative sport
U61.9       Unspecified combative sport
U62         Power sports
U62.0       Power lifting
U62.1       Weight lifting
U62.3       Strength training and body building
U62.4       Wood chopping
U62.5       Wood sawing
U62.8       Other specified power sport
U62.9       Unspecified power sport
U63         Equestrian activities
U63.0       Equestrian events
U63.01      Dressage
U63.02      Show jumping
U63.03      Steeplechase and cross-country eventing
U63.08      Other specified equestrian event
U63.09      Equestrian event, unspecified
U63.1       Endurance riding
U63.2       Polo and polocrosse
U63.3       Horse racing events
U63.31      Horse racing
U63.32      Hurdle racing
U63.4       Rodeo
U63.5       Trail or general horseback riding
U63.6       Trotting and harness
U63.8       Other specified equestrian activity
U63.9       Unspecified equestrian activity
U64         Adventure sports
U64.0       Abseiling and rappelling
U64.1       Hiking
U64.2       Mountaineering
U64.3       Orienteering and rogaining
U64.4       River rafting
U64.5       White-water rafting
U64.6       Rock climbing
U64.7       Bungy jumping
U64.8       Other specified adventure sport
U64.9       Unspecified adventure sport
U65         Wheeled motor sports
U65.0       Riding an all-terrain vehicle (ATV)
U65.1       Motorcycling
U65.2       Motor car racing
U65.3       Go-carting
U65.8       Other specified motor sport
U65.9       Unspecified motor sport
U66         Wheeled non-motored sports
U66.0       Cycling
U66.00      Cycling, BMX
U66.01      Cycling, mountain
U66.02      Cycling, road
U66.03      Cycling, track and velodrome
U66.08      Other specified cycling
U66.09      Cycling, unspecified
U66.1       In-line skating and rollerblading
U66.2       Roller skating
U66.3       Skate boarding
U66.4       Scooter riding
U66.41      Scooter riding, folding non-motored scooter
U66.49      Scooter riding, other and unspecified non-motored scooter
U66.5       Land sailing
U66.8       Other specified wheeled non-motored sport
U66.9       Unspecified wheeled non-motored sport
U67         Multidiscipline sports
U67.0       Biathlon, winter
U67.1       Decathlon
U67.2       Heptathlon
U67.3       Modern Pentathlon
U67.4       Triathlon
U67.40      Triathlon, cycling event
U67.41      Triathlon, running event
U67.42      Triathlon, swimming event
U67.49      Triathlon, unspecified event
U67.8       Other specified multidiscipline sport
U67.9       Unspecified multidiscipline sport
U68         Aero sports
U68.1       Aerobatics
U68.2       Gliding
U68.3       Hang gliding
U68.4       Parachuting and sky diving
U68.5       Paragliding and parasailing
U68.6       Hot air ballooning
U68.8       Other specified aero sport
U68.9       Unspecified aero sport
U69         Other school-related recreational activities
U69.0       School physical education class
U69.1       School free play
U69.8       Other specified school-related recreational activity
U69.9       Unspecified school-related recreational activity
U70         Other specified sport and exercise activity
U70.0       Athletic activities involving fitness equipment, not elsewhere classified
U70.8       Other specified sport and exercise activity
U71         Unspecified sport and exercise activity
U72         Leisure activity, not elsewhere classified
U73         Other activity
U73.0       While working for income
U73.00      Agriculture, forestry and fishing
U73.01      Mining
U73.02      Manufacturing
U73.03      Construction
U73.04      Wholesale and retail trade
U73.05      Transport and storage
U73.06      Government administration and defence
U73.07      Health services
U73.08      Other specified work for income
U73.09      While working for income, unspecified
U73.1       While engaged in other types of work
U73.2       While resting, sleeping, eating or engaging in other vital activities
U73.8       Other specified activity
U73.9       Unspecified activity
V00         Pedestrian injured in collision with pedestrian conveyance
V00.0       Pedestrian injured in collision with pedestrian conveyance, nontraffic accident
V00.00      Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, unspecified pedestrian conveyance
V00.01      Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, on foot
V00.02      Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, skateboard
V00.03      Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, roller-skates
V00.04      Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, scooter, powered
V00.05      Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, scooter, nonpowered
V00.06      Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, wheelchair, powered
V00.07      Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, wheelchair, nonpowered
V00.08      Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, baby carriage
V00.09      Pedestrian injured in collision with pedestrian conveyance, nontraffic accident, other specified pedestrian conveyance
V00.1       Pedestrian injured in collision with pedestrian conveyance, traffic accident
V00.10      Pedestrian injured in collision with pedestrian conveyance, traffic accident, unspecified pedestrian conveyance
V00.11      Pedestrian injured in collision with pedestrian conveyance, traffic accident, on foot
V00.12      Pedestrian injured in collision with pedestrian conveyance, traffic accident, skateboard
V00.13      Pedestrian injured in collision with pedestrian conveyance, traffic accident, roller-skates
V00.14      Pedestrian injured in collision with pedestrian conveyance, traffic accident, scooter, powered
V00.15      Pedestrian injured in collision with pedestrian conveyance, traffic accident, scooter, nonpowered
V00.16      Pedestrian injured in collision with pedestrian conveyance, traffic accident, wheelchair, powered
V00.17      Pedestrian injured in collision with pedestrian conveyance, traffic accident, wheelchair, nonpowered
V00.18      Pedestrian injured in collision with pedestrian conveyance, traffic accident, baby carriage
V00.19      Pedestrian injured in collision with pedestrian conveyance, traffic accident, other specified pedestrian conveyance
V00.9       Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident
V00.90      Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, unspecified pedestrian conveyance
V00.91      Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, on foot
V00.92      Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, skateboard
V00.93      Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, roller-skates
V00.94      Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, scooter, powered
V00.95      Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, scooter, nonpowered
V00.96      Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, wheelchair, powered
V00.97      Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, wheelchair, nonpowered
V00.98      Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, baby carriage
V00.99      Pedestrian injured in collision with pedestrian conveyance, unspecified whether traffic or nontraffic accident, other specified pedestrian conveyance
V01         Pedestrian injured in collision with pedal cycle
V01.0       Pedestrian injured in collision with pedal cycle, nontraffic accident
V01.00      Pedestrian injured in collision with pedal cycle, nontraffic accident, while engaged in sports activity
V01.01      Pedestrian injured in collision with pedal cycle, nontraffic accident, while engaged in leisure activity
V01.02      Pedestrian injured in collision with pedal cycle, nontraffic accident, while working for an income
V01.03      Pedestrian injured in collision with pedal cycle, nontraffic accident, while engaged in other types of work
V01.04      Pedestrian injured in collision with pedal cycle, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V01.08      Pedestrian injured in collision with pedal cycle, nontraffic accident, while engaged in other specified activities
V01.09      Pedestrian injured in collision with pedal cycle, nontraffic accident, during unspecified activity
V01.1       Pedestrian injured in collision with pedal cycle, traffic accident
V01.10      Pedestrian injured in collision with pedal cycle, traffic accident, while engaged in sports activity
V01.11      Pedestrian injured in collision with pedal cycle, traffic accident, while engaged in leisure activity
V01.12      Pedestrian injured in collision with pedal cycle, traffic accident, while working for an income
V01.13      Pedestrian injured in collision with pedal cycle, traffic accident, while engaged in other types of work
V01.14      Pedestrian injured in collision with pedal cycle, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V01.18      Pedestrian injured in collision with pedal cycle, traffic accident, while engaged in other specified activities
V01.19      Pedestrian injured in collision with pedal cycle, traffic accident, during unspecified activity
V01.9       Pedestrian injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident
V01.90      Pedestrian injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, while engaged in sports activity
V01.91      Pedestrian injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, while engaged in leisure activity
V01.92      Pedestrian injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, while working for an income
V01.93      Pedestrian injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, while engaged in other types of work
V01.94      Pedestrian injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V01.98      Pedestrian injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, while engaged in other specified activities
V01.99      Pedestrian injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, during unspecified activities
V02         Pedestrian injured in collision with two- or three-wheeled motor vehicle
V02.0       Pedestrian injured in collision with two- or three-wheeled motor vehicle, nontraffic accident
V02.00      Pedestrian injured in collision with two- or three-wheeled motor vehicle, nontraffic accident, while engaged in sports activity
V02.01      Pedestrian injured in collision with two- or three-wheeled motor vehicle, nontraffic accident, while engaged in leisure activity
V02.02      Pedestrian injured in collision with two- or three-wheeled motor vehicle, nontraffic accident, while working for an income
V02.03      Pedestrian injured in collision with two- or three-wheeled motor vehicle, nontraffic accident, while engaged in other types of work
V02.04      Pedestrian injured in collision with two- or three-wheeled motor vehicle, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V02.08      Pedestrian injured in collision with two- or three-wheeled motor vehicle, nontraffic accident, while engaged in other specified activities
V02.09      Pedestrian injured in collision with two- or three-wheeled motor vehicle, nontraffic accident, during unspecified activity
V02.1       Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident
V02.10      Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident, while engaged in sports activity
V02.11      Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident, while engaged in leisure activity
V02.12      Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident, while working for an income
V02.13      Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident, while engaged in other types of work
V02.14      Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V02.18      Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident, while engaged in other specified activities
V02.19      Pedestrian injured in collision with two- or three-wheeled motor vehicle, traffic accident, during unspecified activity
V02.9       Pedestrian injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident
V02.90      Pedestrian injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, while engaged in sports activity
V02.91      Pedestrian injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, while engaged in leisure activity
V02.92      Pedestrian injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, while working for an income
V02.93      Pedestrian injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, while engaged in other types of work
V02.94      Pedestrian injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V02.98      Pedestrian injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, while engaged in other specified activities
V02.99      Pedestrian injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, during unspecified activity
V03         Pedestrian injured in collision with car, pick-up truck or van
V03.0       Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident
V03.00      Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident, while engaged in sports activity
V03.01      Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident, while engaged in leisure activity
V03.02      Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident, while working for an income
V03.03      Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident, while engaged in other types of work
V03.04      Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V03.08      Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident, while engaged in other specified activities
V03.09      Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident, during unspecified activity
V03.1       Pedestrian injured in collision with car, pick-up truck or van, traffic accident
V03.10      Pedestrian injured in collision with car, pick-up truck or van, traffic accident, while engaged in sports activity
V03.11      Pedestrian injured in collision with car, pick-up truck or van, traffic accident, while engaged in leisure activity
V03.12      Pedestrian injured in collision with car, pick-up truck or van, traffic accident, while working for an income
V03.13      Pedestrian injured in collision with car, pick-up truck or van, traffic accident, while engaged in other types of work
V03.14      Pedestrian injured in collision with car, pick-up truck or van, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V03.18      Pedestrian injured in collision with car, pick-up truck or van, traffic accident, while engaged in other specified activities
V03.19      Pedestrian injured in collision with car, pick-up truck or van, traffic accident, during unspecified activity
V03.9       Pedestrian injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident
V03.90      Pedestrian injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, while engaged in sports activity
V03.91      Pedestrian injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, while engaged in leisure activity
V03.92      Pedestrian injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, while working for an income
V03.93      Pedestrian injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, while engaged in other types of work
V03.94      Pedestrian injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V03.98      Pedestrian injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, while engaged in other specified activities
V03.99      Pedestrian injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, during unspecified activity
V04         Pedestrian injured in collision with heavy transport vehicle or bus
V04.0       Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident
V04.00      Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident, while engaged in sports activity
V04.01      Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident, while engaged in leisure activity
V04.02      Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident, while working for an income
V04.03      Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident, while engaged in other types of work
V04.04      Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V04.08      Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident, while engaged in other specified activities
V04.09      Pedestrian injured in collision with heavy transport vehicle or bus, nontraffic accident, during unspecified activity
V04.1       Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident
V04.10      Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident, while engaged in sports activity
V04.11      Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident, while engaged in leisure activity
V04.12      Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident, while working for an income
V04.13      Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident, while engaged in other types of work
V04.14      Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V04.18      Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident, while engaged in other specified activities
V04.19      Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident, during unspecified activity
V04.9       Pedestrian injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident
V04.90      Pedestrian injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, while engaged in sports activity
V04.91      Pedestrian injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, while engaged in leisure activity
V04.92      Pedestrian injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, while working for an income
V04.93      Pedestrian injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, while engaged in other types of work
V04.94      Pedestrian injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V04.98      Pedestrian injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, while engaged in other specified activities
V04.99      Pedestrian injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, during unspecified activity
V05         Pedestrian injured in collision with railway train or railway vehicle
V05.0       Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident
V05.00      Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident, while engaged in sports activity
V05.01      Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident, while engaged in leisure activity
V05.02      Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident, while working for an income
V05.03      Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident, while engaged in other types of work
V05.04      Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V05.08      Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident, while engaged in other specified activities
V05.09      Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident, during unspecified activity
V05.1       Pedestrian injured in collision with railway train or railway vehicle, traffic accident
V05.10      Pedestrian injured in collision with railway train or railway vehicle, traffic accident, while engaged in sports activity
V05.11      Pedestrian injured in collision with railway train or railway vehicle, traffic accident, while engaged in leisure activity
V05.12      Pedestrian injured in collision with railway train or railway vehicle, traffic accident, while working for an income
V05.13      Pedestrian injured in collision with railway train or railway vehicle, traffic accident, while engaged in other types of work
V05.14      Pedestrian injured in collision with railway train or railway vehicle, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V05.18      Pedestrian injured in collision with railway train or railway vehicle, traffic accident, while engaged in other specified activities
V05.19      Pedestrian injured in collision with railway train or railway vehicle, traffic accident, during unspecified activity
V05.9       Pedestrian injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident
V05.90      Pedestrian injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, while engaged in sports activity
V05.91      Pedestrian injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, while engaged in leisure activity
V05.92      Pedestrian injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, while working for an income
V05.93      Pedestrian injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, while engaged in other types of work
V05.94      Pedestrian injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V05.98      Pedestrian injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, while engaged in other specified activities
V05.99      Pedestrian injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, during unspecified activity
V06         Pedestrian injured in collision with other nonmotor vehicle
V06.0       Pedestrian injured in collision with other nonmotor vehicle, nontraffic accident
V06.00      Pedestrian injured in collision with other nonmotor vehicle, nontraffic accident, while engaged in sports activity
V06.01      Pedestrian injured in collision with other nonmotor vehicle, nontraffic accident, while engaged in leisure activity
V06.02      Pedestrian injured in collision with other nonmotor vehicle, nontraffic accident, while working for an income
V06.03      Pedestrian injured in collision with other nonmotor vehicle, nontraffic accident, while engaged in other types of work
V06.04      Pedestrian injured in collision with other nonmotor vehicle, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V06.08      Pedestrian injured in collision with other nonmotor vehicle, nontraffic accident, while engaged in other specified activities
V06.09      Pedestrian injured in collision with other nonmotor vehicle, nontraffic accident, during unspecified activity
V06.1       Pedestrian injured in collision with other nonmotor vehicle, traffic accident
V06.10      Pedestrian injured in collision with other nonmotor vehicle, traffic accident, while engaged in sports activity
V06.11      Pedestrian injured in collision with other nonmotor vehicle, traffic accident, while engaged in leisure activity
V06.12      Pedestrian injured in collision with other nonmotor vehicle, traffic accident, while working for an income
V06.13      Pedestrian injured in collision with other nonmotor vehicle, traffic accident, while engaged in other types of work
V06.14      Pedestrian injured in collision with other nonmotor vehicle, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V06.18      Pedestrian injured in collision with other nonmotor vehicle, traffic accident, while engaged in other specified activities
V06.19      Pedestrian injured in collision with other nonmotor vehicle, traffic accident, during unspecified activity
V06.9       Pedestrian injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident
V06.90      Pedestrian injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, while engaged in sports activity
V06.91      Pedestrian injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, while engaged in leisure activity
V06.92      Pedestrian injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, while working for an income
V06.93      Pedestrian injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, while engaged in other types of work
V06.94      Pedestrian injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V06.98      Pedestrian injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, while engaged in other specified activities
V06.99      Pedestrian injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, during unspecified activity
V09         Pedestrian injured in other and unspecified transport accidents
V09.0       Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles
V09.00      Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles, while engaged in sports activity
V09.01      Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles, while engaged in leisure activity
V09.02      Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles, while working for an income
V09.03      Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles, while engaged in other types of work
V09.04      Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles, while resting, sleeping, eating or engaging in other vital activities
V09.08      Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles, while engaged in other specified activities
V09.09      Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles, during unspecified activity
V09.1       Pedestrian injured in unspecified nontraffic accident
V09.10      Pedestrian injured in unspecified nontraffic accident, while engaged in sports activity
V09.11      Pedestrian injured in unspecified nontraffic accident, while engaged in leisure activity
V09.12      Pedestrian injured in unspecified nontraffic accident, while working for an income
V09.13      Pedestrian injured in unspecified nontraffic accident, while engaged in other types of work
V09.14      Pedestrian injured in unspecified nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V09.18      Pedestrian injured in unspecified nontraffic accident, while engaged in other specified activities
V09.19      Pedestrian injured in unspecified nontraffic accident, during unspecified activity
V09.2       Pedestrian injured in traffic accident involving other and unspecified motor vehicles
V09.20      Pedestrian injured in traffic accident involving other and unspecified motor vehicles, while engaged in sports activity
V09.21      Pedestrian injured in traffic accident involving other and unspecified motor vehicles, while engaged in leisure activity
V09.22      Pedestrian injured in traffic accident involving other and unspecified motor vehicles, while working for an income
V09.23      Pedestrian injured in traffic accident involving other and unspecified motor vehicles, while engaged in other types of work
V09.24      Pedestrian injured in traffic accident involving other and unspecified motor vehicles, while resting, sleeping, eating or engaging in other vital activities
V09.28      Pedestrian injured in traffic accident involving other and unspecified motor vehicles, while engaged in other specified activities
V09.29      Pedestrian injured in traffic accident involving other and unspecified motor vehicles, during unspecified activity
V09.3       Pedestrian injured in unspecified traffic accident
V09.30      Pedestrian injured in unspecified traffic accident, while engaged in sports activity
V09.31      Pedestrian injured in unspecified traffic accident, while engaged in leisure activity
V09.32      Pedestrian injured in unspecified traffic accident, while working for an income
V09.33      Pedestrian injured in unspecified traffic accident, while engaged in other types of work
V09.34      Pedestrian injured in unspecified traffic accident, while resting, sleeping, eating or engaging in other vital activities
V09.38      Pedestrian injured in unspecified traffic accident, while engaged in other specified activities
V09.39      Pedestrian injured in unspecified traffic accident, during unspecified activity
V09.9       Pedestrian injured in unspecified transport accident
V09.90      Pedestrian injured in unspecified transport accident, while engaged in sports activity
V09.91      Pedestrian injured in unspecified transport accident, while engaged in leisure activity
V09.92      Pedestrian injured in unspecified transport accident, while working for an income
